,numerai_ticker,ticker_cleaned,name,market_country
73,GUD.AX,GUD,gud holdings,au
74,BEN.AX,BEN,bendigo adelaide bank,au
75,BKL.AX,BKL,blackmores,au
76,GNC.AX,GNC,graincorp,au
77,GWA.AX,GWA,gwa group,au
78,OZL.AX,OZL,oz minerals,au
79,BRG.AX,BRG,breville group,au
80,ALD.AX,ALD,ampol,au
81,ALQ.AX,ALQ,als,au
82,ALU.AX,ALU,altium,au
83,HVN.AX,HVN,harvey norman holdings,au
84,TCL.AX,TCL,transurban group,au
85,OBL.AX,OBL,omni bridgeway,au
86,COH.AX,COH,cochlear,au
87,ALL.AX,ALL,aristocrat leisure,au
88,WSA.AX,WSA,western areas,au
89,OSH.AX,OSH,oil search,au
90,PMV.AX,PMV,premier investments,au
91,RSG.AX,RSG,resolute mining,au
92,JHX.AX,JHX,james hardie industries,au
93,IGO.AX,IGO,igo,au
94,RRL.AX,RRL,regis resources,au
95,BSL.AX,BSL,bluescope steel,au
96,DEG.AX,DEG,de grey mining,au
97,EVN.AX,EVN,evolution mining,au
98,IFL.AX,IFL,ioof holdings,au
99,IVC.AX,IVC,invocare,au
100,QBE.AX,QBE,qbe insurance group,au
101,NST.AX,NST,northern star resources,au
102,CGF.AX,CGF,challenger,au
103,TAH.AX,TAH,tabcorp holdings,au
104,ABC.AX,ABC,adbri,au
105,PRN.AX,PRN,perenti global,au
106,ANZ.AX,ANZ,australia new zealand banking group,au
107,WBC.AX,WBC,westpac banking,au
108,BHP.AX,BHP,bhp group,au
109,RIO.AX,RIO,rio tinto group,au
110,CSR.AX,CSR,csr,au
111,ANN.AX,ANN,ansell,au
112,NAB.AX,NAB,national australia bank,au
113,STO.AX,STO,santos,au
114,WPL.AX,WPL,woodside petroleum,au
115,CWY.AX,CWY,cleanaway waste management,au
116,MTS.AX,MTS,metcash,au
117,SEK.AX,SEK,seek,au
118,SYD.AX,SYD,sydney airport,au
119,MFG.AX,MFG,magellan financial group,au
120,DMP.AX,DMP,domino's pizza enterprises,au
121,NEA.AX,NEA,nearmap,au
122,SGM.AX,SGM,sims,au
123,VRT.AX,VRT,virtus health,au
124,PLS.AX,PLS,pilbara minerals,au
125,SDF.AX,SDF,steadfast group,au
126,BGL.AX,BGL,bellevue gold,au
127,EML.AX,EML,eml payments,au
128,NEC.AX,NEC,nine entertainment holdings,au
129,ORA.AX,ORA,orora,au
130,PGH.AX,PGH,pact group holdings,au
131,CHN.AX,CHN,chalice mining,au
132,BAP.AX,BAP,bapcor,au
133,AGL.AX,AGL,agl energy,au
134,CIA.AX,CIA,champion iron,au
135,GMA.AX,GMA,genworth mortgage insurance australia,au
136,SIQ.AX,SIQ,smartgroup,au
137,GOR.AX,GOR,gold road resources,au
138,IPH.AX,IPH,iph,au
139,EHE.AX,EHE,estia health,au
140,OML.AX,OML,ooh!media,au
141,LOV.AX,LOV,lovisa holdings,au
142,APX.AX,APX,appen,au
143,MIN.AX,MIN,mineral resources,au
144,AMA.AX,AMA,ama group,au
145,S32.AX,S32,south32,au
146,BXB.AX,BXB,brambles,au
147,AFG.AX,AFG,australian finance group,au
148,ADH.AX,ADH,adairs,au
149,HUM.AX,HUM,humm group,au
150,CGC.AX,CGC,costa group holdings,au
151,GXY.AX,GXY,galaxy resources,au
152,RBL.AX,RBL,redbubble,au
153,LNK.AX,LNK,link administration holdings,au
154,BWX.AX,BWX,bwx,au
155,IEL.AX,IEL,idp education,au
156,TPW.AX,TPW,temple webster group,au
157,MP1.AX,MP1,megaport,au
158,AST.AX,AST,ausnet services,au
159,WTC.AX,WTC,wisetech global,au
160,SKI.AX,SKI,spark infrastructure group,au
161,RWC.AX,RWC,reliance worldwide,au
162,AMI.AX,AMI,aurelia metals,au
163,NAN.AX,NAN,nanosonics,au
164,PTM.AX,PTM,platinum investment management,au
165,WHC.AX,WHC,whitehaven coal,au
166,PNI.AX,PNI,pinnacle investment management group,au
167,HUB.AX,HUB,hub24,au
168,SYR.AX,SYR,syrah resources,au
169,NWH.AX,NWH,nrw holdings,au
170,KGN.AX,KGN,kogancom,au
171,SLR.AX,SLR,silver lake resources,au
172,MQG.AX,MQG,macquarie group,au
173,NHF.AX,NHF,nib holdings,au
174,PDL.AX,PDL,pendal group,au
175,ORE.AX,ORE,orocobre,au
176,CWN.AX,CWN,crown resorts,au
177,ING.AX,ING,inghams group,au
178,BVS.AX,BVS,bravura solutions,au
179,WGX.AX,WGX,westgold resources,au
180,BIN.AX,BIN,bingo industries,au
181,APT.AX,APT,afterpay,au
182,DHG.AX,DHG,domain holdings australia,au
183,TLX.AX,TLX,telix pharmaceuticals,au
184,NWL.AX,NWL,netwealth group,au
185,VEA.AX,VEA,viva energy group,au
186,NIC.AX,NIC,nickel mines,au
187,ALG.AX,ALG,ardent leisure group,au
188,COL.AX,COL,coles group,au
189,UWL.AX,UWL,uniti group,au
190,PBH.AX,PBH,pointsbet holdings,au
191,MPL.AX,MPL,medibank private,au
192,CAR.AX,CAR,carsalescom,au
193,TYR.AX,TYR,tyro payments,au
194,NTO.AX,NTO,nitro software,au
195,UMG.AX,UMG,united malt group,au
196,TPG.AX,TPG,tpg telecom,au
197,Z1P.AX,Z1P,zip,au
198,SXL.AX,SXL,southern cross media group,au
199,ALX.AX,ALX,atlas arteria,au
200,SUM.NZ,SUM,summerset group holdings,nz
201,CNU.NZ,CNU,chorus,nz
202,AIA.NZ,AIA,auckland international airport,nz
203,IFT.NZ,IFT,infratil,nz
204,FPH.NZ,FPH,fisher paykel healthcare,nz
205,FBU.NZ,FBU,fletcher building,nz
206,CEN.NZ,CEN,contact energy,nz
207,ATM.NZ,ATM,a2 milk,nz
208,RYM.NZ,RYM,ryman healthcare,nz
209,SKC.NZ,SKC,skycity entertainment group,nz
210,AIR.NZ,AIR,air new zealand,nz
211,SPK.NZ,SPK,spark new zealand,nz
212,MCY.NZ,MCY,mercury nz,nz
213,ZEL.NZ,ZEL,z energy,nz
214,MEL.NZ,MEL,meridian energy,nz
277,MLCO,MLCO,melco resorts entertainment,us
279,HCM,HCM,hutchmed (china),us
285,FUTU,FUTU,futu holdings,us
289,NS8U.SI,NS8U,hutchison port holdings trust,sg
290,OV8.SI,OV8,sheng siong group,sg
291,T39.SI,T39,singapore press holdings,sg
292,C09.SI,C09,city developments,sg
293,U96.SI,U96,sembcorp industries,sg
294,BSL.SI,BSL,raffles medical group,sg
295,U11.SI,U11,united overseas bank,sg
296,U14.SI,U14,uol group,sg
297,V03.SI,V03,venture,sg
298,S63.SI,S63,singapore technologies engineering,sg
299,S58.SI,S58,sats,sg
300,S59.SI,S59,sia engineering,sg
301,S68.SI,S68,singapore exchange,sg
302,C31.SI,C31,capitaland,sg
303,AWX.SI,AWX,aem holdings,sg
304,558.SI,558,ums holdings,sg
305,C52.SI,C52,comfortdelgro,sg
306,S08.SI,S08,singapore post,sg
307,E5H.SI,E5H,golden agriresources,sg
308,D05.SI,D05,dbs group holdings,sg
309,S51.SI,S51,sembcorp marine,sg
310,C07.SI,C07,jardine cycle carriage,sg
311,G13.SI,G13,genting singapore,sg
312,C6L.SI,C6L,singapore airlines,sg
313,Z74.SI,Z74,singapore telecommunications,sg
314,E28.SI,E28,frencken group,sg
315,O39.SI,O39,overseachinese banking,sg
316,F34.SI,F34,wilmar international,sg
317,8K7.SI,8K7,ug healthcare,sg
318,CC3.SI,CC3,starhub,sg
319,BN4.SI,BN4,keppel,sg
320,EB5.SI,EB5,first resources,sg
321,CJLU.SI,CJLU,netlink nbn trust,sg
322,SE,SE,sea,us
861,SIMO,SIMO,silicon motion technology,us
871,HIMX,HIMX,himax technologies,us
896,BPY-UN.TO,BPY,brookfield property partners lp,ca
897,PRMW.TO,PRMW,primo water,ca
898,ECN.TO,ECN,ecn capital,ca
899,EDV.TO,EDV,endeavour mining,ca
900,BEP-UN.TO,BEP,brookfield renewable partners lp,ca
901,BIP-UN.TO,BIP,brookfield infrastructure partners lp,ca
902,OGC.TO,OGC,oceanagold,ca
903,AEM.TO,AEM,agnico eagle mines,ca
904,ACO-X.TO,ACO,atco,ca
905,ABX.TO,ABX,barrick gold,ca
906,BCE.TO,BCE,bce,ca
907,BAM-A.TO,BAM,brookfield asset management,ca
908,T.TO,T,telus,ca
909,CAE.TO,CAE,cae,ca
910,MFI.TO,MFI,maple leaf foods,ca
911,CNR.TO,CNR,canadian national railway,ca
912,CP.TO,CP,canadian pacific railway,ca
913,CTC-A.TO,CTC,canadian tire,ca
914,RUS.TO,RUS,russel metals,ca
915,FTT.TO,FTT,finning international,ca
916,IMO.TO,IMO,imperial oil,ca
917,ENB.TO,ENB,enbridge,ca
918,L.TO,L,loblaw companies,ca
919,MG.TO,MG,magna international,ca
920,K.TO,K,kinross gold,ca
921,POW.TO,POW,power canada,ca
922,QBR-B.TO,QBR,quebecor,ca
923,RCI-B.TO,RCI,rogers communications,ca
924,TECK-B.TO,TECK,teck resources,ca
925,TRP.TO,TRP,tc energy,ca
926,WN.TO,WN,george weston,ca
927,SOY.TO,SOY,sunopta,ca
928,MX.TO,MX,methanex,ca
929,CFP.TO,CFP,canfor,ca
930,CCL-B.TO,CCL,ccl industries,ca
931,CAS.TO,CAS,cascades,ca
932,EMP-A.TO,EMP,empire,ca
933,ONEX.TO,ONEX,onex,ca
934,WFG.TO,WFG,west fraser timber,ca
935,IGM.TO,IGM,igm financial,ca
936,SNC.TO,SNC,snclavalin group,ca
937,SJR-B.TO,SJR,shaw communications,ca
938,FTS.TO,FTS,fortis,ca
939,TA.TO,TA,transalta,ca
940,CU.TO,CU,canadian utilities,ca
941,X.TO,X,tmx group,ca
942,TIH.TO,TIH,toromont industries,ca
943,IFP.TO,IFP,interfor,ca
944,PKI.TO,PKI,parkland,ca
945,CNQ.TO,CNQ,canadian natural resources,ca
946,SU.TO,SU,suncor energy,ca
947,TCL-A.TO,TCL,transcontinental,ca
948,BMO.TO,BMO,bank montreal,ca
949,CM.TO,CM,canadian imperial bank commerce,ca
950,BNS.TO,BNS,bank nova scotia,ca
951,NA.TO,NA,national bank canada,ca
952,RY.TO,RY,royal bank canada,ca
953,TRI.TO,TRI,thomson reuters,ca
954,TD.TO,TD,torontodominion bank,ca
955,IVN.TO,IVN,ivanhoe mines,ca
956,FFH.TO,FFH,fairfax financial holdings,ca
957,GWO.TO,GWO,greatwest lifeco,ca
958,LB.TO,LB,laurentian bank canada,ca
959,NTR.TO,NTR,nutrien,ca
960,NXE.TO,NXE,nexgen energy,ca
961,EQX.TO,EQX,equinox gold,ca
962,RNW.TO,RNW,transalta renewables,ca
963,ARE.TO,ARE,aecon group,ca
964,DPM.TO,DPM,dundee precious metals,ca
965,WEED.TO,WEED,canopy growth,ca
966,ERF.TO,ERF,enerplus,ca
967,OSK.TO,OSK,osisko mining,ca
968,CWB.TO,CWB,canadian western bank,ca
969,HCG.TO,HCG,home capital group,ca
970,LNR.TO,LNR,linamar,ca
971,PAAS.TO,PAAS,pan american silver,ca
972,PSK.TO,PSK,prairiesky royalty,ca
973,KXS.TO,KXS,kinaxis,ca
974,WPK.TO,WPK,winpak,ca
975,AT.TO,AT,acuityads holdings,ca
976,OGI.TO,OGI,organigram holdings,ca
977,GIB-A.TO,GIB,cgi,ca
978,MRU.TO,MRU,metro,ca
979,CRON.TO,CRON,cronos group,ca
980,SHOP.TO,SHOP,shopify,ca
981,NWC.TO,NWC,north west,ca
982,FSV.TO,FSV,firstservice,ca
983,CCO.TO,CCO,cameco,ca
984,ITP.TO,ITP,intertape polymer group,ca
985,H.TO,H,hydro one,ca
986,ZZZ.TO,ZZZ,sleep country canada holdings,ca
987,TOY.TO,TOY,spin master,ca
988,EMA.TO,EMA,emera,ca
989,SIL.TO,SIL,silvercrest metals,ca
990,ELD.TO,ELD,eldorado gold,ca
991,SSRM.TO,SSRM,ssr mining,ca
992,TXG.TO,TXG,torex gold resources,ca
993,CIGI.TO,CIGI,colliers international group,ca
994,CCA.TO,CCA,cogeco communications,ca
995,RCH.TO,RCH,richelieu hardware,ca
996,BLDP.TO,BLDP,ballard power systems,ca
997,BHC.TO,BHC,bausch health companies,ca
998,STN.TO,STN,stantec,ca
999,VET.TO,VET,vermilion energy,ca
1000,CIX.TO,CIX,ci financial,ca
1001,SJ.TO,SJ,stellajones,ca
1002,GOOS.TO,GOOS,canada goose holdings,ca
1003,MTL.TO,MTL,mullen group,ca
1004,REAL.TO,REAL,real matters,ca
1005,YRI.TO,YRI,yamana gold,ca
1006,JWEL.TO,JWEL,jamieson wellness,ca
1007,ERO.TO,ERO,ero copper,ca
1008,LSPD.TO,LSPD,lightspeed pos,ca
1009,GFL.TO,GFL,gfl environmental,ca
1010,OTEX.TO,OTEX,open text,ca
1011,IMG.TO,IMG,iamgold,ca
1012,TRQ.TO,TRQ,turquoise hill resources,ca
1013,ENGH.TO,ENGH,enghouse systems,ca
1014,PBH.TO,PBH,premium brands holdings,ca
1015,LIF.TO,LIF,labrador iron ore royalty,ca
1016,NPI.TO,NPI,northland power,ca
1017,ATD-B.TO,ATD,alimentation couchetard,ca
1018,DML.TO,DML,denison mines,ca
1019,MRE.TO,MRE,martinrea international,ca
1020,RBA.TO,RBA,ritchie bros auctioneers,ca
1021,SAP.TO,SAP,saputo,ca
1022,SPB.TO,SPB,superior plus,ca
1023,BB.TO,BB,blackberry,ca
1024,IPL.TO,IPL,inter pipeline,ca
1025,DSG.TO,DSG,descartes systems group,ca
1026,WTE.TO,WTE,westshore terminals investment,ca
1027,ARX.TO,ARX,arc resources,ca
1029,BLX.TO,BLX,boralex,ca
1030,KL.TO,KL,kirkland lake gold,ca
1031,WPM.TO,WPM,wheaton precious metals,ca
1032,NGD.TO,NGD,new gold,ca
1033,SEA.TO,SEA,seabridge gold,ca
1034,FM.TO,FM,first quantum minerals,ca
1035,FVI.TO,FVI,fortuna silver mines,ca
1036,EDR.TO,EDR,endeavour silver,ca
1037,OR.TO,OR,osisko gold royalties,ca
1038,HBM.TO,HBM,hudbay minerals,ca
1039,LUN.TO,LUN,lundin mining,ca
1040,SVM.TO,SVM,silvercorp metals,ca
1041,FR.TO,FR,first majestic silver,ca
1042,WPRT.TO,WPRT,westport fuel systems,ca
1043,WCN.TO,WCN,waste connections,ca
1044,GIL.TO,GIL,gildan activewear,ca
1045,CLS.TO,CLS,celestica,ca
1046,AQN.TO,AQN,algonquin power utilities,ca
1047,AUP.TO,AUP,aurinia pharmaceuticals,ca
1048,ALA.TO,ALA,altagas,ca
1049,CJR-B.TO,CJR,corus entertainment,ca
1050,AGI.TO,AGI,alamos gold,ca
1051,MFC.TO,MFC,manulife financial,ca
1052,BYD.TO,BYD,boyd group services,ca
1053,WDO.TO,WDO,wesdome gold mines,ca
1054,IAG.TO,IAG,ia financial,ca
1055,PPL.TO,PPL,pembina pipeline,ca
1056,SLF.TO,SLF,sun life financial,ca
1057,MAG.TO,MAG,mag silver,ca
1058,CPG.TO,CPG,crescent point energy,ca
1059,TFII.TO,TFII,tfi international,ca
1060,EIF.TO,EIF,exchange income,ca
1061,KEY.TO,KEY,keyera,ca
1062,INE.TO,INE,innergex renewable energy,ca
1063,VFF.TO,VFF,village farms international,ca
1064,CG.TO,CG,centerra gold,ca
1065,IFC.TO,IFC,intact financial,ca
1066,TRIL.TO,TRIL,trillium therapeutics,ca
1067,DOO.TO,DOO,brp,ca
1068,AIF.TO,AIF,altus group,ca
1069,CJT.TO,CJT,cargojet,ca
1070,AC.TO,AC,air canada,ca
1071,QSR.TO,QSR,restaurant brands international,ca
1072,EFN.TO,EFN,element fleet management,ca
1073,NFI.TO,NFI,nfi group,ca
1074,CSU.TO,CSU,constellation software,ca
1075,SSL.TO,SSL,sandstorm gold,ca
1076,FNV.TO,FNV,franconevada,ca
1077,BTO.TO,BTO,b2gold,ca
1078,SII.TO,SII,sprott,ca
1079,LAC.TO,LAC,lithium americas,ca
1080,CPX.TO,CPX,capital power,ca
1081,DOL.TO,DOL,dollarama,ca
1082,CVE.TO,CVE,cenovus energy,ca
1083,PXT.TO,PXT,parex resources,ca
1084,SIA.TO,SIA,sienna senior living,ca
1085,TCN.TO,TCN,tricon residential,ca
1086,WCP.TO,WCP,whitecap resources,ca
1087,MEG.TO,MEG,meg energy,ca
1088,TOU.TO,TOU,tourmaline oil,ca
1089,PVG.TO,PVG,pretium resources,ca
1090,ATZ.TO,ATZ,aritzia,ca
1091,GEI.TO,GEI,gibson energy,ca
1092,WSP.TO,WSP,wsp global,ca
1106,LHC.JO,LHC,life healthcare group holdings,za
1107,RBP.JO,RBP,royal bafokeng platinum,za
1108,NPN.JO,NPN,naspers,za
1109,NED.JO,NED,nedbank group,za
1110,NTC.JO,NTC,netcare,za
1111,SBK.JO,SBK,standard bank group,za
1112,SPP.JO,SPP,spar group,za
1113,LBH.JO,LBH,liberty holdings,za
1114,ARL.JO,ARL,astral foods,za
1115,WHL.JO,WHL,woolworths holdings,za
1116,DSY.JO,DSY,discovery,za
1117,APN.JO,APN,aspen pharmacare holdings,za
1118,TKG.JO,TKG,telkom soc,za
1119,ABG.JO,ABG,absa group,za
1120,SPG.JO,SPG,super group,za
1121,AVI.JO,AVI,avi,za
1122,ARI.JO,ARI,african rainbow minerals,za
1123,MSM.JO,MSM,massmart holdings,za
1124,REM.JO,REM,remgro,za
1125,MTN.JO,MTN,mtn group,za
1126,ANG.JO,ANG,anglogold ashanti,za
1127,SAP.JO,SAP,sappi,za
1128,SOL.JO,SOL,sasol,za
1129,TBS.JO,TBS,tiger brands,za
1130,MRP.JO,MRP,mr price group,za
1131,TFG.JO,TFG,foschini group,za
1132,NHM.JO,NHM,northam platinum,za
1133,BVT.JO,BVT,bidvest group,za
1134,CLS.JO,CLS,clicks group,za
1135,EXX.JO,EXX,exxaro resources,za
1136,PIK.JO,PIK,pick n pay stores,za
1137,SHP.JO,SHP,shoprite holdings,za
1138,HAR.JO,HAR,harmony gold mining,za
1139,CPI.JO,CPI,capitec bank holdings,za
1140,AMS.JO,AMS,anglo american platinum,za
1141,BAW.JO,BAW,barloworld,za
1142,TRU.JO,TRU,truworths international,za
1143,GFI.JO,GFI,gold fields,za
1144,FSR.JO,FSR,firstrand,za
1145,TCP.JO,TCP,transaction capital,za
1146,IPL.JO,IPL,imperial logistics,za
1147,JSE.JO,JSE,jse,za
1148,IMP.JO,IMP,impala platinum holdings,za
1149,KIO.JO,KIO,kumba iron ore,za
1150,BID.JO,BID,bid,za
1151,DCP.JO,DCP,dischem pharmacies,za
1152,NRP.JO,NRP,nepi rockcastle,za
1153,PPH.JO,PPH,pepkor holdings,za
1154,VOD.JO,VOD,vodacom group,za
1155,DGH.JO,DGH,distell group holdings,za
1156,OMU.JO,OMU,old mutual,za
1157,MTH.JO,MTH,motus holdings,za
1158,MCG.JO,MCG,multichoice group,za
1240,MTLS,MTLS,materialise,us
1280,ASND,ASND,ascendis pharma,us
1323,SQNS,SQNS,sequans communications,us
1402,CRTO,CRTO,criteo,us
1427,TLND,TLND,talend,us
1579,JMIA,JMIA,jumia technologies,us
1582,BNTX,BNTX,biontech,us
1583,KRZ.IR,KRZ,kerry group,ie
1584,FLTR.IR,FLTR,flutter entertainment,ie
1585,GL9.IR,GL9,glanbia,ie
1586,CRG.IR,CRG,crh,ie
1587,KRX.IR,KRX,kingspan group,ie
1588,IR5B.IR,IR5B,irish continental group,ie
1589,DHG.IR,DHG,dalata hotel group,ie
1590,T7O.IR,T7O,total produce,ie
1591,RY4C.IR,RY4C,ryanair holdings,ie
1592,SK3.IR,SK3,smurfit kappa group,ie
1593,FLY,FLY,fly leasing,us
1594,BIRG.IR,BIRG,bank ireland group,ie
1595,GVR.IR,GVR,glenveagh properties,ie
1596,A5G.IR,A5G,aib group,ie
1597,UPR.IR,UPR,uniphar,ie
1611,RDHL,RDHL,redhill biopharma,us
1612,TEVA,TEVA,teva pharmaceutical industries,us
1799,GRFS,GRFS,grifols,us
2042,SDRY.L,SDRY,superdry,gb
2043,ENT.L,ENT,entain,gb
2044,JUP.L,JUP,jupiter fund management,gb
2045,OCDO.L,OCDO,ocado group,gb
2046,IAG.L,IAG,international consolidated airlines group,gb
2047,GLEN.L,GLEN,glencore,gb
2048,GENL.L,GENL,genel energy,gb
2049,CEY.L,CEY,centamin,gb
2050,CNA.L,CNA,centrica,gb
2051,MSLH.L,MSLH,marshalls,gb
2052,HFD.L,HFD,halfords group,gb
2053,RDSB.L,RDSB,royal dutch shell,gb
2054,PFD.L,PFD,premier foods,gb
2055,SBRY.L,SBRY,j sainsbury,gb
2056,GKP.L,GKP,gulf keystone petroleum,gb
2057,ADM.L,ADM,admiral group,gb
2058,GRI.L,GRI,grainger,gb
2059,CHG.L,CHG,chemring group,gb
2060,CKN.L,CKN,clarkson,gb
2061,GNS.L,GNS,genus,gb
2062,RAT.L,RAT,rathbone brothers,gb
2063,AV.L,AV,aviva,gb
2064,CWK.L,CWK,cranswick,gb
2065,CRDA.L,CRDA,croda international,gb
2066,FUTR.L,FUTR,future,gb
2067,RDW.L,RDW,redrow,gb
2068,SMP.L,SMP,st modwen properties,gb
2069,RSW.L,RSW,renishaw,gb
2070,RTO.L,RTO,rentokil initial,gb
2071,ROR.L,ROR,rotork,gb
2072,NWG.L,NWG,natwest group,gb
2073,ANTO.L,ANTO,antofagasta,gb
2074,AHT.L,AHT,ashtead group,gb
2075,BHP.L,BHP,bhp group,gb
2076,AVON.L,AVON,avon rubber,gb
2077,BDEV.L,BDEV,barratt developments,gb
2078,BWY.L,BWY,bellway,gb
2079,GAW.L,GAW,games workshop group,gb
2080,GOG.L,GOG,goahead group,gb
2081,HLMA.L,HLMA,halma,gb
2082,HAS.L,HAS,hays,gb
2083,DMGT.L,DMGT,daily mail general trust,gb
2084,WEIR.L,WEIR,weir group,gb
2085,DPH.L,DPH,dechra pharmaceuticals,gb
2086,BAB.L,BAB,babcock international group,gb
2087,SYNT.L,SYNT,synthomer,gb
2088,AZN.L,AZN,astrazeneca,gb
2089,CBG.L,CBG,close brothers group,gb
2090,STJ.L,STJ,st james's place,gb
2091,TPK.L,TPK,travis perkins,gb
2092,SSE.L,SSE,sse,gb
2093,SNR.L,SNR,senior,gb
2094,SRP.L,SRP,serco group,gb
2095,BP.L,BP,bp,gb
2096,SGE.L,SGE,sage group,gb
2097,SHI.L,SHI,sig,gb
2098,MGNS.L,MGNS,morgan sindall group,gb
2099,SMDS.L,SMDS,ds smith,gb
2100,NXT.L,NXT,next,gb
2101,COA.L,COA,coats group,gb
2102,RR.L,RR,rollsroyce holdings,gb
2103,BNZL.L,BNZL,bunzl,gb
2104,JDW.L,JDW,j d wetherspoon,gb
2105,EZJ.L,EZJ,easyjet,gb
2106,BRW.L,BRW,brewin dolphin holdings,gb
2107,DPLM.L,DPLM,diploma,gb
2108,VTY.L,VTY,vistry group,gb
2109,PRU.L,PRU,prudential,gb
2110,BATS.L,BATS,british american tobacco,gb
2111,ECM.L,ECM,electrocomponents,gb
2112,SPX.L,SPX,spiraxsarco engineering,gb
2113,LLOY.L,LLOY,lloyds banking group,gb
2114,TATE.L,TATE,tate lyle,gb
2115,TW.L,TW,taylor wimpey,gb
2116,TEP.L,TEP,telecom plus,gb
2117,TSCO.L,TSCO,tesco,gb
2118,WG.L,WG,john wood group,gb
2119,ITRK.L,ITRK,intertek group,gb
2120,BRBY.L,BRBY,burberry group,gb
2121,BBY.L,BBY,balfour beatty,gb
2122,AGK.L,AGK,aggreko,gb
2123,TLW.L,TLW,tullow oil,gb
2124,HILS.L,HILS,hill smith holdings,gb
2125,IMB.L,IMB,imperial brands,gb
2126,ICP.L,ICP,intermediate capital group,gb
2127,IMI.L,IMI,imi,gb
2128,PAGE.L,PAGE,pagegroup,gb
2129,ITV.L,ITV,itv,gb
2130,HSV.L,HSV,homeserve,gb
2131,DGE.L,DGE,diageo,gb
2132,SDR.L,SDR,schroders,gb
2133,ELM.L,ELM,elementis,gb
2134,HYVE.L,HYVE,hyve group,gb
2135,BA.L,BA,bae systems,gb
2136,DVO.L,DVO,devro,gb
2137,SXS.L,SXS,spectris,gb
2138,FGP.L,FGP,firstgroup,gb
2139,MTO.L,MTO,mitie group,gb
2140,JMAT.L,JMAT,johnson matthey,gb
2141,JD.L,JD,jd sports fashion,gb
2142,CPG.L,CPG,compass group,gb
2143,HWDN.L,HWDN,howden joinery group,gb
2144,LGEN.L,LGEN,legal general group,gb
2145,APF.L,APF,anglo pacific group,gb
2146,RSA.L,RSA,rsa insurance group,gb
2147,OXB.L,OXB,oxford biomedica,gb
2148,OXIG.L,OXIG,oxford instruments,gb
2149,ABF.L,ABF,associated british foods,gb
2150,PSON.L,PSON,pearson,gb
2151,PSN.L,PSN,persimmon,gb
2152,RCH.L,RCH,reach,gb
